date,open,high,low,close,volume,index_name
2023-06-02,19783.19921875,20032.099609375,19783.19921875,20024.599609375,232220500,TSX
2023-06-05,20045.900390625,20068.30078125,19926.099609375,19931.599609375,217525700,TSX
2023-06-06,19925.900390625,20059.5,19911.599609375,20055.599609375,197427000,TSX
2023-06-07,20068.69921875,20150.0,19955.599609375,19983.69921875,200207800,TSX
2023-06-08,19994.80078125,19996.30078125,19855.30078125,19942.69921875,185562900,TSX
2023-06-09,19940.0,19976.099609375,19857.400390625,19892.099609375,162962100,TSX
2023-06-12,19862.599609375,19933.599609375,19805.900390625,19921.30078125,212148400,TSX
2023-06-13,19998.30078125,20099.19921875,19975.900390625,19990.400390625,205098400,TSX
2023-06-14,20027.80078125,20098.5,19930.30078125,20015.099609375,212250000,TSX
2023-06-15,19986.099609375,20057.400390625,19952.19921875,20027.400390625,199331900,TSX
2023-06-16,20057.30078125,20112.400390625,19973.19921875,19975.400390625,499628700,TSX
2023-06-19,19983.69921875,19985.19921875,19917.599609375,19934.19921875,51027700,TSX
2023-06-20,19881.900390625,19881.900390625,19739.80078125,19754.099609375,234693800,TSX
2023-06-21,19718.599609375,19761.69921875,19656.099609375,19706.0,222469800,TSX
2023-06-22,19638.5,19638.5,19545.599609375,19580.900390625,213520500,TSX
2023-06-23,19511.400390625,19511.400390625,19406.5,19418.19921875,205268400,TSX
2023-06-26,19400.69921875,19630.5,19400.69921875,19587.30078125,207613200,TSX
2023-06-27,19606.69921875,19757.400390625,19579.099609375,19733.099609375,177727100,TSX
2023-06-28,19749.400390625,19818.900390625,19706.5,19818.900390625,180146900,TSX
2023-06-29,19820.30078125,19914.5,19790.400390625,19913.19921875,173336900,TSX
2023-06-30,19973.400390625,20178.80078125,19973.400390625,20155.30078125,220958700,TSX
2023-07-04,20180.30078125,20227.69921875,20176.599609375,20204.900390625,71685700,TSX
2023-07-05,20177.80078125,20177.80078125,20086.19921875,20103.900390625,190949600,TSX
2023-07-06,20006.099609375,20006.099609375,19757.599609375,19810.69921875,215164300,TSX
2023-07-07,19740.80078125,19911.30078125,19719.599609375,19831.0,203482400,TSX
2023-07-10,19820.69921875,19863.30078125,19798.80078125,19822.5,186459900,TSX
2023-07-11,19857.599609375,19882.5,19820.69921875,19878.599609375,190110200,TSX
2023-07-12,19957.30078125,20092.69921875,19938.099609375,20070.80078125,221857300,TSX
2023-07-13,20119.80078125,20294.30078125,20119.80078125,20277.599609375,206193800,TSX
2023-07-14,20311.0,20336.599609375,20234.19921875,20262.099609375,196626900,TSX
2023-07-17,20231.80078125,20256.80078125,20192.599609375,20226.80078125,205999200,TSX
2023-07-18,20252.5,20380.0,20243.900390625,20376.599609375,248064900,TSX
2023-07-19,20401.5,20497.400390625,20401.5,20491.19921875,184128300,TSX
2023-07-20,20487.80078125,20507.400390625,20412.400390625,20436.900390625,190154700,TSX
2023-07-21,20488.30078125,20562.0,20479.30078125,20547.5,192841400,TSX
2023-07-24,20573.69921875,20623.900390625,20551.5,20582.099609375,192374100,TSX
2023-07-25,20590.19921875,20612.19921875,20543.5,20551.5,197296500,TSX
2023-07-26,20514.80078125,20596.19921875,20492.400390625,20561.599609375,208307300,TSX
2023-07-27,20603.5,20610.599609375,20370.5,20385.5,200254200,TSX
2023-07-28,20472.400390625,20578.400390625,20449.5,20519.400390625,201665100,TSX
2023-07-31,20541.80078125,20677.30078125,20541.80078125,20626.599609375,224123400,TSX
2023-08-01,20570.599609375,20585.900390625,20468.69921875,20532.900390625,188166500,TSX
2023-08-02,20423.5,20423.5,20148.19921875,20218.19921875,220650100,TSX
2023-08-03,20163.80078125,20163.80078125,20077.5,20120.69921875,191898700,TSX
2023-08-04,20155.900390625,20356.599609375,20146.400390625,20236.0,217548900,TSX
2023-08-08,20187.80078125,20223.599609375,20089.900390625,20206.0,227909500,TSX
2023-08-09,20230.19921875,20317.19921875,20211.80078125,20275.30078125,188600200,TSX
2023-08-10,20353.400390625,20444.599609375,20279.69921875,20342.900390625,209810300,TSX
