date,open,high,low,close,volume,index_name,daily_return,sma_20,sma_50,volatility_7d,volatility_30d,rsi,rsi_signal
2020-11-25,17278.400390625,17323.80078125,17215.5,17313.099609375,249081100,TSX,0.0022460433343336472,16546.440087890624,16353.50607421875,0.004358576473665077,0.009363942215983079,72.80033628286802,Overbought
2020-11-26,17306.19921875,17366.599609375,17301.900390625,17351.30078125,98806100,TSX,0.0022064894638689214,16630.4701171875,16374.6180859375,0.004388591951881522,0.009362360712343967,73.47904661889521,Overbought
2020-11-27,17316.80078125,17411.0,17316.80078125,17396.599609375,187468700,TSX,0.002610687734371453,16721.2701171875,16397.61607421875,0.003278682518692488,0.009305686003946288,74.29804318823703,Overbought
2020-11-30,17339.69921875,17339.69921875,17124.900390625,17190.30078125,445832900,TSX,-0.011858571948383911,16795.94013671875,16417.44208984375,0.006951567628563865,0.009392799069558148,64.52528096904436,Neutral
2020-12-01,17431.30078125,17471.19921875,17285.30078125,17296.900390625,296753900,TSX,0.006201148585559979,16863.825146484374,16443.7441015625,0.006926491912554912,0.009418043872271457,66.9447700924668,Neutral
2020-12-02,17278.099609375,17358.30078125,17220.900390625,17358.19921875,261964200,TSX,0.0035439198203526256,16931.80009765625,16468.050078125,0.006889833793248077,0.009378647184287608,68.28432319743375,Neutral
2020-12-03,17386.0,17452.900390625,17382.0,17398.0,251025700,TSX,0.002292909578259117,16986.790087890626,16499.6680859375,0.005861343823751417,0.009377589447954977,69.15826529292106,Neutral
2020-12-04,17438.900390625,17525.69921875,17437.5,17521.0,310268400,TSX,0.00706977813541787,17048.70009765625,16531.84208984375,0.006295014444800911,0.009417129320956206,71.74909701970834,Overbought
2020-12-07,17494.69921875,17611.5,17447.30078125,17582.400390625,337305200,TSX,0.0035043884838195094,17104.02509765625,16562.18208984375,0.006330615913224868,0.008905709837672018,72.96977410157342,Overbought
2020-12-08,17541.599609375,17654.900390625,17541.599609375,17639.0,240054200,TSX,0.0032191059307908887,17155.205078125,16590.10609375,0.006346010531628082,0.008816114642885734,74.0815186081659,Overbought
2020-12-09,17654.19921875,17668.0,17475.099609375,17559.900390625,285235700,TSX,-0.004484359055218601,17194.4951171875,16617.0741015625,0.00373958837005023,0.006886046063595353,69.76308185916922,Neutral
2020-12-10,17478.30078125,17603.69921875,17452.900390625,17593.30078125,236325200,TSX,0.0019020831486511458,17245.0501953125,16646.512109375,0.003479727097179152,0.006891243500984549,70.54390687964454,Overbought
2020-12-11,17539.5,17561.80078125,17470.900390625,17548.900390625,215913700,TSX,-0.0025237100858480632,17288.715234375,16673.8001171875,0.003889206395006243,0.006759586219429562,68.02895362979174,Neutral
2020-12-14,17614.19921875,17617.30078125,17383.30078125,17387.400390625,297756300,TSX,-0.009202855814617106,17313.59521484375,16697.56212890625,0.005588324668623176,0.007138935247834432,59.69284937806227,Neutral
